[L]2023-11-14 17:28:21.614|28_46026113759131649| DBG |DESKTOP-4PAEICH|pool-1-thread-5|bus.go|96|func1|System|Nil|"call ExitRpcServer args = []"| 
[L]2023-11-14 17:28:21.616|29_46026113759197185| DBG |DESKTOP-4PAEICH|pool-1-thread-6|bus.go|96|func1|System|Nil|"call log.info args = [grpc server is closeing...]"| 
[L]2023-11-14 17:28:21.618|30_46026113759262721| INF |DESKTOP-4PAEICH|pool-1-thread-6|value.go|596|call|System|Nil|"grpc server is closeing..."| 
[L]2023-11-14 17:28:21.617|31_46026113775843329| DBG |DESKTOP-4PAEICH|pool-1-thread-7|bus.go|96|func1|System|Nil|"call log.info args = [grpc server is closed.]"| 
[L]2023-11-14 17:28:21.622|32_46026113775908865| INF |DESKTOP-4PAEICH|pool-1-thread-7|value.go|596|call|System|Nil|"grpc server is closed."| 
[L]2023-11-14 17:28:21.614|33_46026113775974401| DBG |DESKTOP-4PAEICH|pool-1-thread-4|bus.go|100|1|System|Nil|"call Quit error, stack frames :
    Error Message: reflect: Call with too many input arguments
    C:/Users/92346/Desktop/zixel/asset-library/framework/bus/bus.go:100 (0x205106a)
    C:/Program Files/Go/src/runtime/panic.go:914 (0xf7b11e)
    C:/Program Files/Go/src/reflect/value.go:442 (0x1059d8d)
    C:/Program Files/Go/src/reflect/value.go:380 (0x1057ef8)
    C:/Users/92346/Desktop/zixel/asset-library/framework/bus/bus.go:104 (0x2050fc4)
    C:/Program Files/Go/src/runtime/asm_amd64.s:1650 (0xfabd20)
"| 
[L]2023-11-14 17:28:21.614|34_46026113776039937| DBG |DESKTOP-4PAEICH|pool-1-thread-8|bus.go|96|func1|System|Nil|"call ExitWebServer args = []"| 
[L]2023-11-14 17:28:21.614|35_46026113776105473| DBG |DESKTOP-4PAEICH|pool-1-thread-9|bus.go|96|func1|System|Nil|"call Quit args = [interrupt]"| 
[L]2023-11-14 17:28:21.632|36_46026113792620545| DBG |DESKTOP-4PAEICH|pool-1-thread-9|bus.go|100|1|System|Nil|"call Quit error, stack frames :
    Error Message: reflect: Call with too many input arguments
    C:/Users/92346/Desktop/zixel/asset-library/framework/bus/bus.go:100 (0x205106a)
    C:/Program Files/Go/src/runtime/panic.go:914 (0xf7b11e)
    C:/Program Files/Go/src/reflect/value.go:442 (0x1059d8d)
    C:/Program Files/Go/src/reflect/value.go:380 (0x1057ef8)
    C:/Users/92346/Desktop/zixel/asset-library/framework/bus/bus.go:104 (0x2050fc4)
    C:/Program Files/Go/src/runtime/asm_amd64.s:1650 (0xfabd20)
"| 
[L]2023-11-14 17:28:21.617|37_46026113792686081| WAR |DESKTOP-4PAEICH|pool-1-thread-10|bus.go|85|Publish|System|Nil|"not found handlers in topic:RpcServerExited"| 
[L]2023-11-14 17:28:21.631|38_46026113792751617| DBG |DESKTOP-4PAEICH|pool-1-thread-11|bus.go|96|func1|System|Nil|"call log.info args = [web server is closed.]"| 
[L]2023-11-14 17:28:21.631|39_46026113792817153| DBG |DESKTOP-4PAEICH|pool-1-thread-12|bus.go|96|func1|System|Nil|"call WebServerExited args = []"| 
[L]2023-11-14 17:28:21.636|40_46026113792882689| DBG |DESKTOP-4PAEICH|pool-1-thread-13|bus.go|96|func1|System|Nil|"call log.info args = [Web server is closed. exit code =  0]"| 
[L]2023-11-14 17:28:21.631|41_46026113792948225| DBG |DESKTOP-4PAEICH|pool-1-thread-14|bus.go|96|func1|System|Nil|"call log.error args = [http: Server closed]"| 
[L]2023-11-14 17:28:21.640|42_46026113809397761| ERR |DESKTOP-4PAEICH|pool-1-thread-14|value.go|596|call|System|Nil|"http: Server closed"| 
[L]2023-11-14 17:28:21.635|43_46026113809463297| INF |DESKTOP-4PAEICH|pool-1-thread-11|value.go|596|call|System|Nil|"web server is closed."| 
[L]2023-11-14 17:28:21.639|44_46026113809528833| INF |DESKTOP-4PAEICH|pool-1-thread-13|value.go|596|call|System|Nil|"Web server is closed. exit code = 0"| 
[L]2023-11-14 17:28:49.107|5_46026159879632897| INF |DESKTOP-4PAEICH|pool-1-thread-1|app.go|45|0|System|Nil|"framework initialize ..."| 
[L]2023-11-14 17:28:49.113|6_46026159896410113| INF |DESKTOP-4PAEICH|pool-1-thread-1|grpc.go|105|ConnectGrpcServers|System|Nil|"building grpc conn for:organization:<nil>"| 
[L]2023-11-14 17:28:49.113|7_46026159896475649| INF |DESKTOP-4PAEICH|pool-1-thread-1|grpc.go|105|ConnectGrpcServers|System|Nil|"building grpc conn for:user:localhost:9602"| 
[L]2023-11-14 17:28:49.114|8_46026159896541185| INF |DESKTOP-4PAEICH|pool-1-thread-1|grpc.go|105|ConnectGrpcServers|System|Nil|"building grpc conn for:storage:localhost:9702"| 
[L]2023-11-14 17:28:49.116|9_46026159896606721| INF |DESKTOP-4PAEICH|pool-1-thread-1|database.go|33|0|System|Nil|"initialize database ..."| 
[L]2023-11-14 17:28:49.117|10_46026159896672257| INF |DESKTOP-4PAEICH|pool-1-thread-1|database.go|35|0|System|Nil|"initialize mongo ..."| 
[L]2023-11-14 17:28:49.117|11_46026159896737793| INF |DESKTOP-4PAEICH|pool-1-thread-1|database.go|45|0|System|Nil|"mongo connectstring = 'mongodb://localhost'"| 
[L]2023-11-14 17:28:49.135|12_46026159929964545| INF |DESKTOP-4PAEICH|pool-1-thread-1|database.go|138|0|System|Nil|"initialize redis ..."| 
[L]2023-11-14 17:28:49.135|13_46026159930030081| INF |DESKTOP-4PAEICH|pool-1-thread-1|database.go|168|0|System|Nil|"redis host = '[localhost:6379]'"| 
[L]2023-11-14 17:28:49.139|14_46026159930095617| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'class' database = []"| 
[L]2023-11-14 17:28:49.139|15_46026159930161153| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'tag' database = []"| 
[L]2023-11-14 17:28:49.141|16_46026159946741761| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'config' database = []"| 
[L]2023-11-14 17:28:49.141|17_46026159946807297| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'asset' database = []"| 
[L]2023-11-14 17:28:49.142|18_46026159946872833| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'publicAsset' database = []"| 
[L]2023-11-14 17:28:49.142|19_46026159946938369| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'privateAsset' database = []"| 
[L]2023-11-14 17:28:49.143|20_46026159947003905| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'tenantAsset' database = []"| 
[L]2023-11-14 17:28:49.143|21_46026159947069441| DBG |DESKTOP-4PAEICH|pool-1-thread-1|mongo.go|125|GetCollection|System|Nil|"append new collection 'instanceScopeID' database = []"| 
[L]2023-11-14 17:28:49.151|22_46026159963518977| DBG |DESKTOP-4PAEICH|pool-1-thread-2|bus.go|96|func1|System|Nil|"call log.info args = [Listening and serving HTTP on listener what's bind with address  localhost:8085]"| 
